Sdlg	Species	Fire	FirePatch	Ht2017.cm.fall	Elevation	Nearby_Easting	Nearby_Northing	Slope.Deg	Aspect.deg	BasDia2016.cm	Datasheet1_2016	Date1_2016	Date2_2016	personel2	personel1	ShrubSpp03	Cov1.3	Ht1.3	Years	DataSheet2017	BasDia2017.mm.1	BasDia2017.mm.2	siteclass	Y	X	incidrad	heatload	Year	VertGrowth_cm	Ht_cm1	FireYear	Ht_cm2
2	PIPO	CLVD	CLVD-N	186	1626	72432	4303788	18	2	3.44	Data_Sheet_CLVD_N_May_30	5/30/2016	7/26/2016	VF HH	CT 	ARPA	1310	115.5725191	25	Shrubs_Summer17_Aug30_1231_done	30.7	32.3	3	38.85433326	-120.4149616	0.750576305	0.790499414	2017	14.5	171.5	1992	186
4	PIPO	CLVD	CLVD-N	87	1626	724321	4303791	18	2	1.85	Data_Sheet_CLVD_N_May_30_2	5/30/2016	7/26/2016	VF HH	CT 	ARPA	1450	115.5172414	25	Shrubs_Summer17_Aug30_1231_done	16.6	16.6	3	38.85433326	-120.4149616	0.750576305	0.790499414	2017	3.2	83.8	1992	87
5	PIPO	CLVD	CLVD-N	217	1626	724321	4303791	14	2	6.19	Data_Sheet_CLVD_N_May_30_2	5/30/2016	7/26/2016	VF HH	CT 	ARPA	980	89.54081633	25	Shrubs_Summer17_Aug30_1231_done	79	79	3	38.85438935	-120.414938	0.803251666	0.834506498	2017	12.5	204.5	1992	217
8	PIPO	CLVD	CLVD-N	229	1626.5	724392	4303842	15	41	7.2	Data_Sheet_CLVD_N_May_31	5/31/2016	7/26/2016	VF HH	CT 	CEIN	1100	106.3636364	25	Shrubs_Summer17_Aug30_1231_done	79	85	3	38.8554105	-120.4140961	0.820799639	0.790503355	2017	11.5	217.5	1992	229
9	ABCO	CLVD	CLVD-N	175	1626.5	724392	4303842	15	34	3.52	Data_Sheet_CLVD_N_May_31	5/31/2016	7/26/2016	VF HH	CT 	ARPA	1440	132.0833333	25	Shrubs_Summer17_Aug30_1231_done	40.3	39.8	3	38.85516028	-120.4142948	0.811529475	0.792493802	2017	11.5	163.5	1992	175
10	PIPO	CLVD	CLVD-N	185	1626.5	724392	4303842	16	47	5.86	Data_Sheet_CLVD_N_May_31	5/31/2016	7/26/2016	VF HH	CT 	ARPA	1190	116.302521	25	Shrubs_Summer17_Aug30_1231_done	69.8	64.5	3	38.85488033	-120.4141733	0.819343995	0.777176118	2017	14	171	1992	185
11	PIPO	CLVD	CLVD-N	27	1626.5	724392	4303842	16	38	0.9	Data_Sheet_CLVD_N_May_31	5/31/2016	7/26/2016	VF HH	CT 	ARPA	1300	101.0769231	25	Shrubs_Summer17_Aug30_1231_done	4.3	4.6	3	38.85501252	-120.4143175	0.805258263	0.778084262	2017	1.8	25.2	1992	27
12	ABCO	CLVD	CLVD-N	157	1632	724392	4303842	15	17	4.24	Data_Sheet_CLVD_N_May_31	5/31/2016	9/9/9999	0	CT 	CEPR	810	10.59259259	25	Shrubs_Summer17_Aug30_1231_done	52.8	56.2	3	38.85503971	-120.4144633	0.795653908	0.804805271	2017	17.2	139.8	1992	157
13	ABCO	CLVD	CLVD-N	15	1632	724392	4303842	15	17	0.65	Data_Sheet_CLVD_N_May_31	5/31/2016	9/9/9999	0	CT 	CEPR	810	10.59259259	25	Shrubs_Summer17_Aug30_1231_done	4.1	3.9	3	38.85503971	-120.4144633	0.795653908	0.804805271	2017	0.6	14.4	1992	15
15	ABCO	CLVD	CLVD-N	62	1626.5	724392	4303842	15	26	1.28	Data_Sheet_CLVD_N_May_31	5/31/2016	7/26/2016	VF HH	CT 	CEPR	1330	43.90977444	25	Shrubs_Summer17_Aug30_1231_done	14.2	14.4	3	38.85511777	-120.4143643	0.802827693	0.796998771	2017	6	56	1992	62
