"Sdlg","Species","Fire","FirePatch","Ht2016.cm","Ht2017.cm","Elevation","Slope.Deg","Aspect.deg","BasDia2016.cm","LastYearGrth.cm","Light_File","DIFN.all","ImmedAboveSpp","ImmedAboveHt.cm","ShrubSpp01","ShrubSpp02","ShrubSpp03","Cov1","Cov2","Cov3","Ht1","Ht2","Ht3","Cov1.2","Cov1.3","Ht1.2","Ht1.3","Genus","ShrG1","IAG","Years","Date","LAI","DIFN.53","DataSheet2017","Map","Status","BasDia2017.mm.1","BasDia2017.mm.2","Growth_17","Growth_16","Growth_15","notes","shrubarea1","shrubarea2","shrubarea3","soil_type_dom","soil_series","soil_order","soil_suborder"
"2","PIPO","CLVD","CLVD-N",143,186,1631,18,2,3.44,6.7,"4",0.031,"none",0,"ARPA","ARPA","ARPA",300,630,440,103.125,112.222222222222,99.375,930,1370,107.673611111111,104.907407407407,"Pinus","Arcto","Other",24,"20160527 08:38:47",6.2,0.031,NA,"Cleveland Lines - N","DONE","30.7","32.299999999999997","14.5","6.6","7.5","height measured wrong in 2016, very bendy",30937.5,100136.458333333,143723.148148148,"Jocal","153","Ultisol","Xerult"
"4","PIPO","CLVD","CLVD-N",88,87,1631,18,2,1.85,3.09,"18",0.366,"ARPA",180,"ARPA","ARPA","ARPA",490,440,520,91.1111111111111,80.7142857142857,98.5714285714286,930,1450,85.9126984126984,90.1322751322751,"Pinus","Arcto","Arcto",24,"20160610 05:06:53",1.53,0.37,NA,"Cleveland Lines - N","DONE","16.600000000000001","16.600000000000001","3.2","6.1","3.1","basal diameters measured with diameter tape",44644.4444444444,79898.8095238095,130691.798941799,"Jocal","153","Ultisol","Xerult"
"5","PIPO","CLVD","CLVD-N",191,217,1631,14,2,6.19,19,"21",0.406,"none",0,"CHSE","CHSE","ARPA",260,310,430,70,71.875,80,570,1000,70.9375,73.9583333333333,"Pinus","CHSE","Other",24,"20160610 05:22:51",1.28,0.423,NA,"Cleveland Lines - N","DONE","79","79","12.5","24.8","20.5",NA,18200,40434.375,73958.3333333333,"Jocal","153","Ultisol","Xerult"
"6","ABCO","CLVD","CLVD-N",9.45,14,1631,22,85,0.3,1.92,"16",0.296,"ARPA",200,"ARPA","ARPA","ARPA",400,490,290,116.666666666667,125.833333333333,95.8333333333333,890,1180,121.25,112.777777777778,"Abies","Arcto","Arcto",24,"20160531 20:32:01",1.67,0.331,NA,"Cleveland Lines - N","DONE","3.7","4.0999999999999996",NA,NA,"2.1","leader died, no vertical growth measurements for 2017 and 2016",46666.6666666668,107912.5,133077.777777778,"Jocal","153","Ultisol","Xerult"
"8","PIPO","CLVD","CLVD-N",110,229,1632,NA,NA,7.2,16,"13",0.909,"none",0,"CEIN","CEIN","CEIN",370,450,280,75.5555555555556,110,104,820,1100,92.7777777777778,96.5185185185185,"Pinus","Ceanothus","Other",24,"20160531 19:48:46",0.15,0.909,NA,"Cleveland Lines - N","DONE","79","85","11.5","15","17.5","height measured incorrectly in 2016",27955.5555555556,76077.7777777778,106170.37037037,"Jocal","153","Ultisol","Xerult"
"9","ABCO","CLVD","CLVD-N",146,175,1632,NA,NA,3.52,18,"15,26",0.283,"ARPA",190,"ARPA","ARPA","ARPA",400,540,500,100,96.6666666666667,146.666666666667,940,1440,98.3333333333333,114.444444444444,"Abies","Arcto","Arcto",24,NA,NA,0.298,NA,"Cleveland Lines - N","DONE","40.299999999999997","39.799999999999997","11.5","23.3","17.7",NA,40000,92433.3333333333,164799.999999999,"Jocal","153","Ultisol","Xerult"
"10","PIPO","CLVD","CLVD-N",163,185,1632,NA,NA,5.86,23,"27",0.325,"none",0,"CEIN","CEIN","ARPA",330,400,420,90,83.75,115.714285714286,730,1150,86.875,96.4880952380952,"Pinus","Ceanothus","Other",24,"20160610 05:52:22",1.77,0.386,NA,"Cleveland Lines - N","DONE","69.8","64.5","14","25","23.3",NA,29700,63418.75,110961.309523809,"Jocal","153","Ultisol","Xerult"
"11","PIPO","CLVD","CLVD-N",27,27,1632,NA,NA,0.9,2.64,"24",0.245,"CEIN",50,"CEIN","CEIN","ARPA",400,530,370,70,93.75,120,930,1300,81.875,94.5833333333333,"Pinus","Ceanothus","Ceanothus",24,"20160610 05:38:41",1.99,0.287,NA,"Cleveland Lines - N","DONE","4.3","4.5999999999999996","1.8","3.7","3",NA,28000,76143.75,122958.333333333,"Jocal","153","Ultisol","Xerult"
"12","ABCO","CLVD","CLVD-N",123,157,1632,NA,NA,4.24,16.3,"28",0.966,"none",0,"CEPR","CEPR","CEPR",350,160,300,9,5,19,510,810,7,11,"Abies","Ceanothus","Other",24,"20160610 05:57:28",0.01,0.991,NA,"Cleveland Lines - N","DONE","52.8","56.2","17.2","17.7","17",NA,3150,3570,8910,"Jocal","153","Ultisol","Xerult"
"13","ABCO","CLVD","CLVD-N",11.8,15,1632,NA,NA,0.65,2.1,"",NA,"none",0,"CEPR","CEPR","CEPR",380,160,300,14.1666666666667,5,19,540,840,9.58333333333333,12.7222222222222,"Abies","Ceanothus","Other",24,NA,NA,NA,NA,"Cleveland Lines - N","DONE","4.0999999999999996","3.9","0.6","1.4","1.2","appears browsed",5383.33333333335,5175,10686.6666666666,"Jocal","153","Ultisol","Xerult"
"15","ABCO","CLVD","CLVD-N",46,62,1632,NA,NA,1.28,7.9,"25",0.606,"none",0,"CEPR","CEPR","CEPR",570,420,340,27,56.4285714285714,72.5,990,1330,41.7142857142857,51.9761904761905,"Abies","Ceanothus","Other",24,"20160610 05:42:30",0.54,0.719,NA,"Cleveland Lines - N","DONE","14.2","14.4","6","8","7.8","branch has become new leader",15390,41297.1428571428,69128.3333333334,"Jocal","153","Ultisol","Xerult"
