"Sdlg","Species","Fire","FirePatch","Ht16_meas2016.cm","Ht2017.cm.fall","Patch","Elevation","Nearby_Easting","Nearby_Northing","Slope.Deg","Aspect.deg","BasDia2016.cm","LastYearGrth.cm","HTLCB","Dia_at_2016_growth","Dia_at_2015_growth","Ht2015.meas2016","Note1_2016","Note2_2016","Note3_Light","Datasheet1_2016","Light_File","DIFN","return","Date1_2016","Date2_2016","personel2","personel1","Time1","Time2","Photo","Datasheet2_2016","ShrubSpp03","Cov1","Ht1","Cov1.2","Ht1.2","Cov1.3","Ht1.3","DIFN.all","ref","Date","LAI.53","DIFN.53","Years","Date2017","DataSheet2017","Map","Status","BasDia2017.mm.1","BasDia2017.mm.2","Notes2017","shrubarea3","shrubarea2","shrubarea1","siteclass","Y","X","file_lat","Aspect.rad","Slope.rad","Lat.rad","Aspect.rad.fold.NS","Aspect.rad.fold.NESW","incidrad","heatload","Ht2015.cm_spring_from2017","Ht2016.cm_spring_from2017","Ht2017.cm_spring_from2017","Ht2015.cm_spring","apical_growth_pred","Ht2015.calc2016","Ht2017.cm_spring","Ht2016.cm_spring","Year","VertGrowth_cm","Ht_cm1","FireYear","Ht_cm2","VertGrowth_Rel","sqrt_shrubarea3","sqrt_shrubarea2","sqrt_shrubarea1"
"2","PIPO","CLVD","CLVD-N",143,186,"N",1626,72432,4303788,18,2,3.44,6.7,0,NA,NA,NA,"","","","Data_Sheet_CLVD_N_May_30",4,0.031,"0",2016-05-30,2016-07-26,"VF HH","CT ",09:45:00,08:01:00,"1","NA","ARPA",290,130.862068965517,870,121.436781609195,1310,115.572519083969,0.031,0,"20160527 08:38:47",6.2,0.031,25,NA,"Shrubs_Summer17_Aug30_1231_done","Cleveland Lines - N","DONE","30.7","32.299999999999997","height measured wrong in 2016, very bendy",151400,105650,37950,"3",38.8543332573915,-120.414961567364,"CLVDN.csv",0.0349065850398866,0.314159265358979,0.678136044008615,0.0349065850398866,0.750491578357562,0.750576305113597,0.790499414065894,157.4,164.9,171.5,157.4,6.19005024879156,NA,171.5,164.9,"2017",14.5,171.5,1992,186,-2.47043461717947,389.101529166874,325.0384592629,194.807597387782
"4","PIPO","CLVD","CLVD-N",88,87,"N",1626,724321,4303791,18,2,1.85,3.09,0,NA,NA,NA,"","","","Data_Sheet_CLVD_N_May_30_2",18,0.366,"0",2016-05-30,2016-07-26,"VF HH","CT ",13:43:00,08:01:00,"1","NA","ARPA",490,130.612244897959,930,113.010752688172,1450,115.51724137931,0.366,0,"20160610 05:06:53",1.53,0.37,25,NA,"Shrubs_Summer17_Aug30_1231_done","Cleveland Lines - N","DONE","16.600000000000001","16.600000000000001","basal diameters measured with diameter tape",167500,105100,64000,"3",38.8543332573915,-120.414961567364,"CLVDN.csv",0.0349065850398866,0.314159265358979,0.678136044008615,0.0349065850398866,0.750491578357562,0.750576305113597,0.790499414065894,74.6,77.7,83.8,74.6,1.64941996100002,NA,83.8,77.7,"2017",3.2,83.8,1992,87,-3.26528219768236,409.267638593623,324.191301548947,252.98221281347
"5","PIPO","CLVD","CLVD-N",191,217,"N",1626,724321,4303791,14,2,6.19,19,0,NA,NA,NA,"","","","Data_Sheet_CLVD_N_May_30_2",21,0.406,"0",2016-05-30,2016-07-26,"VF HH","CT ",13:43:00,08:01:00,"1","NA","ARPA",240,60.625,550,81,980,89.5408163265306,0.406,0,"20160610 05:22:51",1.28,0.423,25,NA,"Shrubs_Summer17_Aug30_1231_done","Cleveland Lines - N","DONE","79","79",NA,87750,44550,14550,"3",38.8543893495978,-120.414938024994,"CLVDN.csv",0.0349065850398866,0.244346095279206,0.6781370230023,0.0349065850398866,0.750491578357562,0.803251666072969,0.834506497916466,159.2,179.7,204.5,159.2,21.6608958276935,NA,204.5,179.7,"2017",12.5,204.5,1992,217,-2.7948393311746,296.226264871972,211.068709192054,120.623380818148
"8","PIPO","CLVD","CLVD-N",110,229,"N",1626.5,724392,4303842,15,41,7.2,16,0,NA,NA,NA," missing slope and aspect, could use nearby","","","Data_Sheet_CLVD_N_May_31",13,0.909,"0",2016-05-31,2016-07-26,"VF HH","CT ",16:22:00,08:01:00,"1","NA","CEIN",370,72.4324324324324,820,97.5609756097561,1100,106.363636363636,0.909,0,"20160531 19:48:46",0.15,0.909,25,NA,"Shrubs_Summer17_Aug30_1231_done","Cleveland Lines - N","DONE","79","85","height measured incorrectly in 2016",117000,80000,26800,"3",38.8554104989454,-120.41409606107,"CLVDN.csv",0.715584993317675,0.261799387799149,0.67815484542057,0.715584993317675,0.0698131700797733,0.820799639013223,0.790503354512898,185,202.5,217.5,185,18.0283850985251,NA,217.5,202.5,"2017",11.5,217.5,1992,229,-2.93985181515953,342.052627529741,282.842712474619,163.707055437449
"9","ABCO","CLVD","CLVD-N",146,175,"N",1626.5,724392,4303842,15,34,3.52,18,0,NA,NA,NA," missing slope and aspect, could use nearby","error in file 26? DIFN reported is file 15","","Data_Sheet_CLVD_N_May_31",0,0.283,"0",2016-05-31,2016-07-26,"VF HH","CT ",16:22:00,08:01:00,"1","NA","ARPA",400,127.25,940,119.148936170213,1440,132.083333333333,0.283,0,NA,NA,0.298,25,NA,"Shrubs_Summer17_Aug30_1231_done","Cleveland Lines - N","DONE","40.299999999999997","39.799999999999997",NA,190200,112000,50900,"3",38.855160275369,-120.414294802301,"CLVDN.csv",0.593411945678072,0.261799387799149,0.678150478195296,0.593411945678072,0.191986217719376,0.811529474864729,0.792493801925741,122.5,140.2,163.5,122.5,7.9225528754016,NA,163.5,140.2,"2017",11.5,163.5,1992,175,-2.6544659549681,436.119249747131,334.66401061363,225.61028345357
"10","PIPO","CLVD","CLVD-N",163,185,"N",1626.5,724392,4303842,16,47,5.86,23,0,NA,NA,NA," missing slope and aspect, could use nearby","","","Data_Sheet_CLVD_N_May_31",27,0.325,"0",2016-05-31,2016-07-26,"VF HH","CT ",16:22:00,08:01:00,"1","NA","ARPA",330,85.1515151515152,770,95.8441558441558,1190,116.302521008403,0.325,0,"20160610 05:52:22",1.77,0.386,25,NA,"Shrubs_Summer17_Aug30_1231_done","Cleveland Lines - N","DONE","69.8","64.5",NA,138400,73800,28100,"3",38.8548803255664,-120.414173274027,"CLVDN.csv",0.820304748437335,0.279252680319093,0.6781455921495,0.820304748437335,0.0349065850398866,0.81934399463322,0.777176118425411,122.7,146,171,122.7,26.8329313629408,NA,171,146,"2017",14,171,1992,185,-2.5026062268874,372.021504754765,271.661554144122,167.630546142402
"11","PIPO","CLVD","CLVD-N",27,27,"N",1626.5,724392,4303842,16,38,0.9,2.64,0,NA,NA,NA," missing slope and aspect, could use nearby","","","Data_Sheet_CLVD_N_May_31",24,0.245,"0",2016-05-31,2016-07-26,"VF HH","CT ",16:22:00,08:01:00,"1","NA","ARPA",400,70.5,930,87.6344086021505,1300,101.076923076923,0.245,0,"20160610 05:38:41",1.99,0.287,25,NA,"Shrubs_Summer17_Aug30_1231_done","Cleveland Lines - N","DONE","4.3","4.5999999999999996",NA,131400,81500,28200,"3",38.8550125241889,-120.414317526052,"CLVDN.csv",0.663225115757845,0.279252680319093,0.678147899450729,0.663225115757845,0.122173047639603,0.805258262944502,0.778084261535019,18.5,21.5,25.2,18.5,1.22427965672593,NA,25.2,21.5,"2017",1.8,25.2,1992,27,-2.63905732961526,362.491379207837,285.482048472404,167.928556237467
"12","ABCO","CLVD","CLVD-N",123,157,"N",1632,724392,4303842,15,17,4.24,16.3,0,NA,NA,NA," missing slope and aspect, could use nearby","","","Data_Sheet_CLVD_N_May_31",28,0.966,"0",2016-05-31,9999-09-09,"0","CT ",16:22:00,01:00:00,"0","NA","CEPR",350,7.28571428571429,510,6.76470588235294,810,10.5925925925926,0.966,0,"20160610 05:57:28",0.01,0.991,25,NA,"Shrubs_Summer17_Aug30_1231_done","Cleveland Lines - N","DONE","52.8","56.2",NA,8580,3450,2550,"3",38.8550397129847,-120.414463295764,"CLVDN.csv",0.296705972839036,0.261799387799149,0.678148373984735,0.296705972839036,0.488692190558412,0.795653907906721,0.80480527120343,105.1,122.1,139.8,105.1,7.02931076335628,NA,139.8,122.1,"2017",17.2,139.8,1992,157,-2.0953034459803,92.6282894152753,58.7367006223537,50.4975246918104
"13","ABCO","CLVD","CLVD-N",11.8,15,"N",1632,724392,4303842,15,17,0.65,2.1,0,NA,NA,NA," missing slope and aspect, could use nearby","","","Data_Sheet_CLVD_N_May_31",0,0,"0",2016-05-31,9999-09-09,"0","CT ",16:22:00,01:00:00,"0","NA","CEPR",350,7.28571428571429,510,6.76470588235294,810,10.5925925925926,0,0,NA,NA,NA,25,NA,"Shrubs_Summer17_Aug30_1231_done","Cleveland Lines - N","DONE","4.0999999999999996","3.9","appears browsed",8580,3450,2550,"3",38.8550397129847,-120.414463295764,"CLVDN.csv",0.296705972839036,0.261799387799149,0.678148373984735,0.296705972839036,0.488692190558412,0.795653907906721,0.80480527120343,11.8,13,14.4,11.8,-0.431888054904589,NA,14.4,13,"2017",0.6,14.4,1992,15,-3.17805383034795,92.6282894152753,58.7367006223537,50.4975246918104
"15","ABCO","CLVD","CLVD-N",46,62,"N",1626.5,724392,4303842,15,26,1.28,7.9,0,NA,NA,NA,"broken top","center stem missing, measured top of branch","","Data_Sheet_CLVD_N_May_31",25,0.606,"0",2016-05-31,2016-07-26,"VF HH","CT ",16:22:00,08:01:00,"1","NA","CEPR",570,19.0350877192982,990,30,1330,43.9097744360902,0.606,0,"20160610 05:42:30",0.54,0.719,25,NA,"Shrubs_Summer17_Aug30_1231_done","Cleveland Lines - N","DONE","14.2","14.4","branch has become new leader",58400,29700,10850,"3",38.8551177726528,-120.41436425607,"CLVDN.csv",0.453785605518526,0.261799387799149,0.678149736382957,0.453785605518526,0.331612557878922,0.802827692891003,0.796998771427852,40.2,48,56,40.2,2.61564385677943,NA,56,48,"2017",6,56,1992,62,-2.23359222150709,241.660919471891,172.336879396141,104.163333279998
