"Sdlg","ht_wm.cm","ShrubSpp03","Cov1.3","Ht1.3","Light_File","DIFN.all","FirePatch","Species","ref","Date","LAI.53","DIFN.53"
"10",116.302521008403,"ARPA",1190,116.302521008403,27,0.325,"CLVD-N","PIPO",0,"20160610 05:52:22",1.77,0.386
"100",88.6206896551724,"CECO",1160,88.6206896551724,0,0,"AMRC-2","ABCO",0,NA,NA,NA
"103",106.95652173913,"CECO",1150,106.95652173913,0,0,"AMRC-2","ABCO",0,NA,NA,NA
"104",121.666666666667,"CECO",1200,121.666666666667,0,0,"AMRC-2","ABCO",0,NA,NA,NA
"105",77.563025210084,"CECO",1190,77.563025210084,86,0.061,"AMRC-2","ABCO",0,"20160623 06:57:07",4.08,0.071
"106",79.016393442623,"CECO",1220,79.016393442623,0,0,"AMRC-2","ABCO",0,NA,NA,NA
"107",77.8070175438596,"CECO",1140,77.8070175438596,80,0.093,"AMRC-2","ABCO",0,"20160623 06:19:58",3.49,0.096
"108",213.389830508475,"ARPA",1180,213.389830508475,0,0,"CLVD-SE","PIPO",0,NA,NA,NA
"109",173.827160493827,"ARPA",810,173.827160493827,91,0.117,"CLVD-SE","PIPO",0,"20160628 05:21:59",3.22,0.127
"11",101.076923076923,"ARPA",1300,101.076923076923,24,0.245,"CLVD-N","PIPO",0,"20160610 05:38:41",1.99,0.287
"110",184.745762711864,"ARPA",1180,184.745762711864,92,0.821,"CLVD-SE","PIPO",0,"20160628 05:33:47",0.14,0.916
"112",53.855421686747,"CECO",830,53.855421686747,117,0.945,"WRTS-1","ABCO",0,"20160629 20:19:20",0.06,0.96
"113",68.9516129032258,"CECO",1240,68.9516129032258,115,0.588,"WRTS-1","ABCO",0,"20160629 20:07:43",0.63,0.677
"115",115.546218487395,"CECO",1190,115.546218487395,0,0,"WRTS-1","ABCO",0,NA,NA,NA
"116",66.5384615384615,"CECO",520,66.5384615384615,106,0.711,"WRTS-1","PIPO",0,"20160629 19:26:30",0.44,0.758
"117",90.7692307692308,"CECO",1170,90.7692307692308,111,0.277,"WRTS-1","ABCO",0,"20160629 19:38:54",1.96,0.271
"118",90.7692307692308,"CECO",1170,90.7692307692308,112,0.087,"WRTS-1","ABCO",0,"20160629 19:40:55",3.56,0.096
"119",83.3823529411765,"PREM",680,83.3823529411765,108,0.489,"WRTS-1","ABCO",0,"20160629 19:31:12",0.89,0.559
"12",10.5925925925926,"CEPR",810,10.5925925925926,28,0.966,"CLVD-N","ABCO",0,"20160610 05:57:28",0.01,0.991
