"COMP","DATE","TIME","SEEDLING","SPECIES","HEIGHT","dia/ht","DEAD_ALIVE","BAS_DIA_1_mm","BAS_DIA_2_mm","LAST_YR_GR_cm","MINUS_1_GR_cm","MINUS_2_GR_cm","PERC_NEEDLES","NEEDLE_COLOR","BLACK DOTS","BARK","BUDS","Growing?","SUPPRESSED","NOTES","got it","MECH_DAMAGE","PATH_DAMAGE","Practice","Tops cut?","photo checked in lab?","thrown_out","Notes","Cut_at_bottom","DEAD","BAS_DIA_AVE","PAIR","exclude_reason","mateless","ht1","ht2","ht3","ht4","gr1","gr2","gr3","death_year","gr_rel_ave","log10_gr_rel_ave","log_gr_rel_ave"
180,2017-08-14,"0.54375000000000007","1","PIPO",19,0.136842105263158,"DEAD",2.6,2.6,2.5,2.6,2.9,"80","brown",NA,"intact","intact",NA,NA,NA,NA,NA,"0",NA,"1","1","0",NA,NA,"1",2.6,"1",NA,0,19,16.5,13.9,11,0.151515151515152,0.18705035971223,0.263636363636364,2017,0.200733958287915,-0.697379151431146,-1.60577483825019
180,2017-08-23,"0.66805555555555562","4","ABCO",19,0.1,"DEAD",1.9,1.9,1.7,2.5,2.9,"99","red","no","intact","intact","no","yes","0","y",NA,"0",NA,NA,NA,"0",NA,NA,"1",1.9,"4",NA,0,19,17.3,14.8,11.9,0.0982658959537572,0.168918918918919,0.243697478991597,2016,0.133592407436338,-0.874218223763184,-2.01296185006084
180,2017-08-17,"0.45416666666666666","8","PIPO",32,0.153125,"DEAD",5.1,4.9,7.3,6.5,7,"90","light brown","YES","intact","intact","NOT GROWING","YES",NA,"y",NA,"0",NA,"1","1","0",NA,NA,"1",5,"8",NA,0,32,24.7,18.2,11.2,0.295546558704453,0.357142857142857,0.625,2016,0.326344707923655,-0.486323425524123,-1.11980106998565
180,2017-08-14,"0.63402777777777775","9","PIPO",68,0.139705882352941,"DEAD",9.6,9.5,4.6,6.6,8.9,"50","brown",NA,"intact","intact","unknown",NA,NA,NA,0,"0",NA,"1","1","0",NA,NA,"1",9.55,"9",NA,0,68,63.4,56.8,47.9,0.0725552050473186,0.116197183098592,0.18580375782881,2016,0.0943761940729551,-1.02513754051757,-2.36046641906433
180,2017-08-14,"0.61805555555555558","10","PIPO",56,0.130357142857143,"DEAD",7.2,7.3,5,7.9,10.7,"30","brown","yes","intact","intact","yes",NA,NA,NA,0,"0",NA,"1","1","0",NA,NA,"1",7.25,"10",NA,0,56,51,43.1,32.4,0.0980392156862745,0.183294663573086,0.330246913580247,2016,0.14066693962968,-0.851807961012381,-1.96136031312076
180,2017-08-14,"0.625","11","PIPO",63,0.136507936507936,"DEAD",9.2,8.6,4.6,6.4,10,"70","brown",NA,"intact","intact","post 2017 growth",NA,NA,NA,NA,"0",NA,"1","1","0",NA,NA,"1",8.9,"11",NA,0,63,58.4,52,42,0.0787671232876713,0.123076923076923,0.238095238095238,2016,0.100922023182297,-0.996014051772177,-2.29340710802322
180,2017-08-14,"0.625","12","PIPO",72,0.129166666666667,"DEAD",8.7,9.3,3.1,2.9,5,"10","brown",NA,"intact","missing",NA,NA,"TWO MOUNTED, need to figure out which is the real one",NA,NA,"0",NA,"1","1","0",NA,NA,"1",9,"12",NA,0,72,68.9,66,61,0.0449927431059506,0.043939393939394,0.0819672131147541,2015,0.0449927431059506,-1.34685752807335,-3.10125406652851
180,2017-08-14,"0.64930555555555558","13","PIPO",75,0.162666666666667,"DEAD",12.2,12.2,5.3,5.6,14.7,"80","brown",NA,"intact","intact","post 2017 growth",NA,NA,NA,NA,"0",NA,"1","1","0",NA,NA,"1",12.2,"13",NA,0,75,69.7,64.1,49.4,0.0760401721664275,0.0873634945397815,0.297570850202429,2016,0.0817018333531045,-1.08776819798162,-2.50467883730548
180,2017-08-14,"0.65277777777777779","14","PIPO",56,0.191071428571429,"DEAD",10,10.7,1.1,3,7.4,"20","brown",NA,"intact","intact",NA,NA,NA,NA,NA,"0",NA,"1","1","0",NA,NA,"1",10.35,"14",NA,0,56,54.9,51.9,44.5,0.0200364298724955,0.0578034682080925,0.166292134831461,2016,0.038919949040294,-1.40982773704535,-3.24624833101015
180,2017-08-14,"0.65972222222222221","15","PIPO",92,0.126086956521739,"DEAD",11.2,11.6,1.5,4.5,3,"80","greenish",NA,"intact","intact","Yes",NA,"maybe died early 2017 growth",NA,0,"0",NA,"1","1","0",NA,NA,"1",11.4,"15",NA,0,92,90.5,86,83,0.0165745856353591,0.0523255813953488,0.036144578313253,2017,0.0350149151146537,-1.45574692215855,-3.35198116213424
