Seq	Series	Interval	Years	Segmt	Flags	Master	msmt	msmt	dev	corr	sens	value	dev	corr
100B	2009	2016	8	1	1	-0.611	0.07	0.15	0.038	0.29	0.488	2.94	1.113	-0.239
101B	2012	2016	5	1	1	-0.299	0.43	0.71	0.255	0.497	0.505	2.37	0.464	-0.532
102B	2015	2016	2	1	1	-1	0.27	0.33	0.085	0	0.444	2.12	0.273	0
105B	2009	2016	8	1	1	-0.54	0.2	0.25	0.032	0.317	0.167	2.59	0.833	-0.046
111B	2012	2016	5	1	1	0.501	0.4	0.51	0.12	-0.643	0.521	2.23	0.436	-0.541
112B	2009	2016	8	1	1	0.314	0.23	0.38	0.101	0.898	0.193	2.85	0.959	0.296
117B	2010	2016	7	1	0	0.562	0.55	0.85	0.16	-0.041	0.286	2.32	0.243	-0.092
119B	2011	2016	6	1	1	0.335	0.37	0.59	0.153	0.919	0.205	2.07	0.126	0.076
120B	2010	2016	7	1	1	0.066	0.3	0.5	0.107	0.211	0.289	2.38	0.252	-0.383
127B	2011	2016	6	1	1	0.564	0.09	0.11	0.015	0.259	0.18	2.11	0.147	-0.018
128B	2011	2016	6	1	1	0.647	0.38	0.65	0.146	0.522	0.299	2.21	0.286	0.251
129B	2012	2016	5	1	1	-0.852	0.46	0.58	0.119	0.732	0.177	2.06	0.113	-0.507
130B	2011	2016	6	1	1	0.489	0.32	0.45	0.067	-0.367	0.171	2.12	0.167	0.321
131B	2010	2016	7	1	1	-0.075	0.62	0.73	0.085	-0.472	0.221	2.13	0.132	-0.547
132B	2011	2016	6	1	1	0.492	0.38	0.51	0.1	0.172	0.262	2.2	0.247	0.318
137B	2009	2016	8	1	1	-0.248	0.38	0.68	0.187	0.585	0.379	2.55	0.865	0.135
139B	2010	2016	7	1	0	0.399	0.44	0.53	0.049	-0.279	0.141	2.14	0.108	-0.314
141B	2013	2016	4	1	1	0.37	0.61	0.7	0.113	-0.472	0.206	2.08	0.151	-0.497
161B	2009	2016	8	1	1	-0.135	0.39	0.6	0.154	0.788	0.253	2.53	0.924	0.004
169B	2011	2016	6	1	1	0.071	0.11	0.15	0.044	0.014	0.414	2.32	0.385	-0.448
16B	2011	2016	6	1	1	0.125	0.08	0.14	0.042	-0.294	0.759	2.32	0.872	-0.346
183BA	2004	2016	13	1	0	0.525	0.27	0.4	0.076	0.467	0.273	2.46	0.763	-0.118
184BA	2007	2016	10	1	1	-0.287	0.5	0.6	0.068	-0.139	0.168	2.61	0.738	-0.137
18B	2011	2016	6	1	0	0.925	0.22	0.34	0.091	0.822	0.218	2.09	0.105	-0.52
192B	2011	2016	6	1	1	-0.061	0.44	0.51	0.056	0.081	0.121	2.12	0.121	-0.309
193B	2011	2016	6	1	1	0.016	0.27	0.45	0.163	0.569	0.412	2.24	0.456	-0.251
197B	2008	2016	9	1	0	0.816	0.29	0.42	0.118	0.904	0.173	2.47	0.741	0.225
198B	2013	2016	4	1	0	0.876	0.43	0.47	0.038	0.381	0.061	2	0.043	-0.779
199B	2010	2016	7	1	1	-0.015	0.37	0.45	0.06	0.461	0.127	2.04	0.131	-0.018
201B	2007	2016	10	1	1	-0.331	0.34	0.53	0.1	0.175	0.289	2.79	0.918	-0.147
202B	2012	2016	5	1	1	-0.126	0.21	0.27	0.087	0.693	0.384	2.24	0.354	-0.167
203B	2010	2016	7	1	1	-0.505	0.11	0.15	0.026	0.191	0.238	2.07	0.157	-0.439
206B	2008	2016	9	1	1	-0.215	0.46	1.1	0.341	0.772	0.46	2.52	0.899	-0.089
208B	2016	2016	1	1	1	0	0.11	0.11	0	0	0	1.95	0	0
210B	2012	2016	5	1	1	-0.871	0.44	0.63	0.158	0.647	0.266	2.1	0.149	-0.11
211B	2013	2016	4	1	1	0.282	0.17	0.19	0.022	-0.327	0.185	2.04	0.118	-0.39
212B	2012	2016	5	1	1	-0.235	0.24	0.26	0.027	-0.33	0.146	2.25	0.194	-0.305
214B	2008	2016	9	1	1	-0.115	0.48	0.57	0.088	0.744	0.114	2.36	0.72	-0.085
215B	2013	2016	4	1	0	0.812	0.21	0.23	0.022	-0.075	0.131	2.03	0.08	-0.777
216B	2010	2016	7	1	1	0.131	0.52	0.62	0.096	-0.649	0.218	2.19	0.253	-0.187
217B	2012	2016	5	1	1	0.145	0.43	0.59	0.164	0.813	0.321	2.11	0.197	-0.54
218B	2012	2016	5	1	1	0.105	0.43	0.54	0.082	0.442	0.175	2.03	0.073	-0.475
219B	2011	2016	6	1	1	-0.701	0.42	0.46	0.033	-0.821	0.113	2.03	0.066	-0.522
220B	2014	2016	3	1	1	-0.168	0.52	0.67	0.155	1	0.308	2.21	0.325	1
221B	2015	2016	2	1	0	1	0.32	0.34	0.021	0	0.092	1.98	0.056	0
223B	2011	2016	6	1	0	0.694	0.44	0.49	0.041	0.349	0.083	2.01	0.051	-0.32
224B	2010	2016	7	1	1	-0.015	0.25	0.49	0.137	0.395	0.406	2.52	0.431	0.219
225B	2008	2016	9	1	0	0.787	0.22	0.59	0.213	0.663	0.739	2.55	0.755	0.56
226B	2013	2016	4	1	1	0.211	0.28	0.46	0.125	0.628	0.325	2.1	0.186	-0.376
227B	2013	2016	4	1	1	0.655	0.39	0.61	0.163	-0.194	0.513	2.33	0.344	-0.348
228B	2014	2016	3	1	1	0.96	0.49	0.65	0.136	-1	0.441	2.2	0.237	-1
229B	2014	2016	3	1	1	0.818	1.01	1.22	0.194	-1	0.304	2.13	0.181	-1
230B	2014	2016	3	1	1	0.834	0.67	0.88	0.186	-1	0.43	2.2	0.253	-1
231B	2011	2016	6	1	1	0.263	0.31	0.37	0.072	-0.891	0.345	2.16	0.217	-0.627
232B	2010	2016	7	1	1	0.258	0.37	0.6	0.131	0.657	0.241	2.24	0.195	-0.236
233B	2016	2016	1	1	1	0	0.3	0.3	0	0	0	1.95	0	0
234B	2011	2016	6	1	1	0.342	0.42	0.53	0.096	-0.707	0.355	2.22	0.246	-0.718
235B	2013	2016	4	1	1	0.496	0.38	0.57	0.162	-0.948	0.669	2.11	0.411	-0.48
29B	2011	2016	6	1	0	0.359	0.42	0.64	0.11	-0.287	0.277	2.2	0.188	-0.68
30B	2008	2016	9	1	1	0.233	0.58	0.77	0.138	0.428	0.172	2.88	0.962	0.153
31B	2008	2016	9	1	0	0.689	0.5	0.73	0.174	0.481	0.293	2.49	0.924	0.032
32B	2007	2016	10	1	0	0.37	0.37	0.55	0.14	0.532	0.347	2.4	0.73	-0.038
33B	2014	2016	3	1	0	0.932	0.3	0.35	0.05	-1	0.244	2.11	0.177	-1
36B	2012	2016	5	1	1	0.227	0.17	0.28	0.074	0.182	0.515	2.27	0.439	-0.009
37B	2012	2016	5	1	1	0.49	0.34	0.4	0.059	-0.695	0.272	2.1	0.143	-0.862
