 Seq Series   Interval   Years  Segmt  Flags   Master  msmt   msmt    dev   corr   sens  value    dev   corr  ()
   1 106B     2012 2016      5      1      0    .528    .38    .44   .058  -.415   .170   2.05   .108  -.419   0
   2 107B     2013 2016      4      1      1    .378    .37    .39   .021   .277   .045   1.98   .031  -.766   0
   3 109B     2015 2016      2      1      0   1.000    .24    .26   .028   .000   .167   2.01   .101   .000   0
   4 10B      2013 2016      4      1      1   -.807    .38    .43   .046  -.156   .164   2.05   .108  -.355   0
   5 110B     2014 2016      3      1      1    .532    .26    .28   .015  1.000   .057   2.00   .055  1.000   0
   6 115B     2014 2016      3      1      1    .676    .19    .27   .075  1.000   .400   2.29   .401  1.000   0
   7 118B     2012 2016      5      1      1   -.909    .33    .46   .095   .796   .225   2.09   .128  -.554   0
   8 11B      2013 2016      4      1      1   -.267    .26    .32   .055  -.918   .335   2.05   .190  -.540   0
   9 121B     2013 2016      4      1      1   -.289    .17    .37   .151   .901   .615   2.73  1.140   .667   0
  10 122B     2013 2016      4      1      1   -.896    .38    .42   .031  -.132   .079   1.99   .053  -.496   0
  11 123B     2012 2016      5      1      1    .206    .29    .38   .091   .446   .242   2.18   .184  -.048   0
  12 124B     2011 2016      6      1      0    .606    .59    .79   .101   .035   .144   2.20   .165  -.285   0
  13 125B     2011 2016      6      1      1    .038    .61    .78   .152   .271   .223   2.18   .239   .238   0
  14 12B      2011 2016      6      1      1   -.495    .29    .40   .067   .004   .300   2.26   .199  -.384   0
  15 13B      2013 2016      4      1      1    .834    .86   1.00   .117  -.579   .178   2.08   .123  -.458   0
  16 142B     2012 2016      5      1      0    .701    .57    .72   .116   .338   .180   2.07   .130  -.177   0
  17 144B     2013 2016      4      1      1    .857    .41    .45   .033  -.454   .104   2.01   .068  -.488   0
  18 14B      2013 2016      4      1      1    .160    .51    .59   .083   .180   .155   2.04   .101  -.774   0
  19 150B     2009 2016      8      1      1    .023    .38    .47   .073  -.032   .280   3.04   .988   .197   2
  20 151B     2011 2016      6      1      0    .532    .47    .72   .182   .893   .252   2.11   .093  -.270   0
  21 152B     2012 2016      5      1      1    .072    .32    .41   .058  -.518   .274   2.11   .147  -.850   0
  22 153B     2012 2016      5      1      1    .353    .27    .42   .106   .522   .339   2.10   .124  -.571   0
  23 154B     2012 2016      5      1      0    .712    .27    .35   .059  -.223   .274   2.22   .191  -.164   0
  24 156B     2013 2016      4      1      0    .574    .43    .54   .099   .730   .194   2.03   .058  -.712   0
  25 157B     2010 2016      7      1      0    .507    .23    .36   .089   .211   .417   2.33   .277  -.309   0
  26 158B     2015 2016      2      1      0   1.000    .49    .50   .014   .000   .041   1.96   .025   .000   0
  27 15B      2011 2016      6      1      1   -.110    .38    .43   .042  -.639   .180   2.06   .101  -.681   0
  28 160B     2009 2016      8      1      0    .629    .30    .36   .074   .020   .211   2.42   .886  -.045   1
  29 163B     2013 2016      4      1      1    .214    .43    .60   .133  -.017   .330   2.09   .138  -.762   0
  30 164B     2012 2016      5      1      1    .306    .29    .39   .077  -.179   .285   2.24   .231  -.026   0
  31 165B     2013 2016      4      1      1    .263    .44    .55   .087  -.352   .294   2.13   .171  -.782   0
  32 166B     2013 2016      4      1      1   -.756    .76    .95   .132  -.085   .163   2.00   .083  -.444   0
  33 167B     2012 2016      5      1      1   -.700    .41    .50   .055  -.333   .143   2.06   .088  -.322   0
  34 168B     2011 2016      6      1      1   -.333    .14    .17   .026  -.432   .227   2.27   .211  -.487   0
  35 172B     2013 2016      4      1      1   -.704    .42    .47   .085  -.544   .323   2.06   .194  -.575   0
  36 173B     2010 2016      7      1      1   -.169    .26    .44   .123  -.078   .425   2.54   .436   .064   0
  37 177B     2012 2016      5      1      0    .683    .45    .53   .102   .682   .174   2.12   .139   .002   0
  38 181B     2010 2016      7      1      1    .016    .33    .47   .074  -.083   .223   2.14   .191   .043   0
  39 182B     2010 2016      7      1      1   -.787    .24    .37   .073  -.146   .286   2.30   .207  -.546   0
  40 183BP    2012 2016      5      1      0    .812    .53    .66   .128   .951   .172   2.05   .101   .093   0
  41 184BP    2010 2016      7      1      1    .016    .17    .21   .026   .343   .124   2.03   .081  -.499   0
  42 185BP    2009 2016      8      1      1    .327    .29    .39   .094   .178   .324   2.48   .835  -.033   1
  43 186B     2010 2016      7      1      1    .036    .25    .38   .110   .573   .411   2.28   .256  -.245   0
  44 190B     2012 2016      5      1      1   -.063   1.06   1.36   .252   .761   .138   2.03   .070  -.797   0
  45 191B     2013 2016      4      1      0    .605    .54    .61   .081   .741   .101   2.01   .040  -.540   0
  46 196B     2011 2016      6      1      1    .154    .71    .75   .035   .282   .045   2.01   .034  -.265   0
  47 19B      2013 2016      4      1      0    .561    .20    .27   .053  -.828   .396   2.25   .223  -.631   0
  48 1B       2011 2016      6      1      1    .195    .12    .20   .051  -.535   .590   2.57   .624  -.486   0
  49 200B     2014 2016      3      1      1   -.329    .16    .17   .010 -1.000   .095   2.01   .066 -1.000   0
  50 204B     2012 2016      5      1      1    .384    .28    .49   .123  -.409   .556   2.37   .410  -.422   0
  51 209B     2011 2016      6      1      0    .468    .45    .64   .162   .359   .328   2.26   .231  -.103   0
  52 20B      2013 2016      4      1      1    .300    .13    .14   .006 -1.000   .074   1.99   .037  -.786   0
  53 213B     2014 2016      3      1      1    .182    .37    .56   .181 -1.000   .718   2.36   .506 -1.000   0
  54 21B      2013 2016      4      1      1    .857    .84    .87   .037  -.564   .052   1.98   .037  -.486   0
  55 25B      2012 2016      5      1      0    .643    .49    .57   .048  -.287   .113   2.06   .099  -.556   0
  56 26B      2011 2016      6      1      1   -.130    .32    .42   .092   .545   .240   2.19   .135  -.620   0
  57 39B      2011 2016      6      1      1   -.559    .42    .52   .056   .914   .068   2.01   .060   .312   0
  58 42B      2009 2016      8      1      1   -.198    .80   1.12   .188   .621   .136   2.63   .871   .113   2
  59 48B      2013 2016      4      1      0    .847    .58    .72   .166   .997   .237   2.02   .087  -.498   0
  60 49B      2009 2016      8      1      0    .745   1.05   1.52   .317   .803   .186   2.36   .790   .068   1
  61 50B      2011 2016      6      1      1    .131    .88   1.18   .237   .651   .211   2.09   .117  -.436   0
  62 57B      2011 2016      6      1      1    .131    .89   1.07   .193   .634   .162   2.17   .191   .247   0
  63 60B      2013 2016      4      1      1    .341    .54    .61   .073  -.791   .200   2.05   .093  -.789   0
  64 61B      2009 2016      8      1      1   -.565    .15    .22   .047   .257   .279   2.53   .942  -.413   2
  65 64B      2011 2016      6      1      1    .379    .50    .65   .165   .835   .241   2.17   .168   .251   0
  66 67B      2013 2016      4      1      1   -.811    .18    .19   .005  -.004   .018   1.96   .016  -.443   0
  67 70B      2012 2016      5      1      1   -.536    .11    .16   .029  -.437   .190   2.14   .198   .052   0
  68 71B      2011 2016      6      1      1   -.172    .20    .23   .031   .484   .110   2.11   .087  -.542   0
  69 72B      2014 2016      3      1      1    .894    .34    .36   .026  1.000   .075   2.00   .073  1.000   0
  70 73B      2010 2016      7      1      1   -.178    .61    .78   .143   .058   .254   2.11   .161  -.526   0
  71 75B      2010 2016      7      1      1    .066    .61    .84   .120   .126   .185   2.10   .121  -.268   0
  72 85B      2012 2016      5      1      1   -.503    .23    .26   .029   .000   .146   2.04   .125  -.101   0
  73 8B       2013 2016      4      1      1    .810    .21    .29   .070   .178   .381   2.18   .207  -.428   0
  74 99B      2012 2016      5      1      1    .406    .33    .43   .108   .891   .215   2.10   .098  -.074   0
  75 9B       2012 2016      5      1      1   -.310    .55    .65   .092   .939   .097   1.97   .029  -.284   0
 
