Seq	Series	Interval	Years	Segmt	Flags	Master	msmt	msmt	dev	corr	sens	value	dev
106B	2012	2016	5	1	0	0.528	0.38	0.44	0.058	-0.415	0.17	2.05	0.108
107B	2013	2016	4	1	1	0.378	0.37	0.39	0.021	0.277	0.045	1.98	0.031
109B	2015	2016	2	1	0	1	0.24	0.26	0.028	0	0.167	2.01	0.101
10B	2013	2016	4	1	1	-0.807	0.38	0.43	0.046	-0.156	0.164	2.05	0.108
110B	2014	2016	3	1	1	0.532	0.26	0.28	0.015	1	0.057	2	0.055
115B	2014	2016	3	1	1	0.676	0.19	0.27	0.075	1	0.4	2.29	0.401
118B	2012	2016	5	1	1	-0.909	0.33	0.46	0.095	0.796	0.225	2.09	0.128
11B	2013	2016	4	1	1	-0.267	0.26	0.32	0.055	-0.918	0.335	2.05	0.19
121B	2013	2016	4	1	1	-0.289	0.17	0.37	0.151	0.901	0.615	2.73	1.14
122B	2013	2016	4	1	1	-0.896	0.38	0.42	0.031	-0.132	0.079	1.99	0.053
123B	2012	2016	5	1	1	0.206	0.29	0.38	0.091	0.446	0.242	2.18	0.184
124B	2011	2016	6	1	0	0.606	0.59	0.79	0.101	0.035	0.144	2.2	0.165
125B	2011	2016	6	1	1	0.038	0.61	0.78	0.152	0.271	0.223	2.18	0.239
12B	2011	2016	6	1	1	-0.495	0.29	0.4	0.067	0.004	0.3	2.26	0.199
13B	2013	2016	4	1	1	0.834	0.86	1	0.117	-0.579	0.178	2.08	0.123
142B	2012	2016	5	1	0	0.701	0.57	0.72	0.116	0.338	0.18	2.07	0.13
144B	2013	2016	4	1	1	0.857	0.41	0.45	0.033	-0.454	0.104	2.01	0.068
14B	2013	2016	4	1	1	0.16	0.51	0.59	0.083	0.18	0.155	2.04	0.101
150B	2009	2016	8	1	1	0.023	0.38	0.47	0.073	-0.032	0.28	3.04	0.988
151B	2011	2016	6	1	0	0.532	0.47	0.72	0.182	0.893	0.252	2.11	0.093
152B	2012	2016	5	1	1	0.072	0.32	0.41	0.058	-0.518	0.274	2.11	0.147
153B	2012	2016	5	1	1	0.353	0.27	0.42	0.106	0.522	0.339	2.1	0.124
154B	2012	2016	5	1	0	0.712	0.27	0.35	0.059	-0.223	0.274	2.22	0.191
156B	2013	2016	4	1	0	0.574	0.43	0.54	0.099	0.73	0.194	2.03	0.058
157B	2010	2016	7	1	0	0.507	0.23	0.36	0.089	0.211	0.417	2.33	0.277
158B	2015	2016	2	1	0	1	0.49	0.5	0.014	0	0.041	1.96	0.025
15B	2011	2016	6	1	1	-0.11	0.38	0.43	0.042	-0.639	0.18	2.06	0.101
160B	2009	2016	8	1	0	0.629	0.3	0.36	0.074	0.02	0.211	2.42	0.886
163B	2013	2016	4	1	1	0.214	0.43	0.6	0.133	-0.017	0.33	2.09	0.138
164B	2012	2016	5	1	1	0.306	0.29	0.39	0.077	-0.179	0.285	2.24	0.231
165B	2013	2016	4	1	1	0.263	0.44	0.55	0.087	-0.352	0.294	2.13	0.171
166B	2013	2016	4	1	1	-0.756	0.76	0.95	0.132	-0.085	0.163	2	0.083
167B	2012	2016	5	1	1	-0.7	0.41	0.5	0.055	-0.333	0.143	2.06	0.088
168B	2011	2016	6	1	1	-0.333	0.14	0.17	0.026	-0.432	0.227	2.27	0.211
172B	2013	2016	4	1	1	-0.704	0.42	0.47	0.085	-0.544	0.323	2.06	0.194
173B	2010	2016	7	1	1	-0.169	0.26	0.44	0.123	-0.078	0.425	2.54	0.436
177B	2012	2016	5	1	0	0.683	0.45	0.53	0.102	0.682	0.174	2.12	0.139
181B	2010	2016	7	1	1	0.016	0.33	0.47	0.074	-0.083	0.223	2.14	0.191
182B	2010	2016	7	1	1	-0.787	0.24	0.37	0.073	-0.146	0.286	2.3	0.207
183BP	2012	2016	5	1	0	0.812	0.53	0.66	0.128	0.951	0.172	2.05	0.101
184BP	2010	2016	7	1	1	0.016	0.17	0.21	0.026	0.343	0.124	2.03	0.081
185BP	2009	2016	8	1	1	0.327	0.29	0.39	0.094	0.178	0.324	2.48	0.835
186B	2010	2016	7	1	1	0.036	0.25	0.38	0.11	0.573	0.411	2.28	0.256
190B	2012	2016	5	1	1	-0.063	1.06	1.36	0.252	0.761	0.138	2.03	0.07
191B	2013	2016	4	1	0	0.605	0.54	0.61	0.081	0.741	0.101	2.01	0.04
196B	2011	2016	6	1	1	0.154	0.71	0.75	0.035	0.282	0.045	2.01	0.034
19B	2013	2016	4	1	0	0.561	0.2	0.27	0.053	-0.828	0.396	2.25	0.223
1B	2011	2016	6	1	1	0.195	0.12	0.2	0.051	-0.535	0.59	2.57	0.624
200B	2014	2016	3	1	1	-0.329	0.16	0.17	0.01	-1	0.095	2.01	0.066
204B	2012	2016	5	1	1	0.384	0.28	0.49	0.123	-0.409	0.556	2.37	0.41
209B	2011	2016	6	1	0	0.468	0.45	0.64	0.162	0.359	0.328	2.26	0.231
20B	2013	2016	4	1	1	0.3	0.13	0.14	0.006	-1	0.074	1.99	0.037
213B	2014	2016	3	1	1	0.182	0.37	0.56	0.181	-1	0.718	2.36	0.506
21B	2013	2016	4	1	1	0.857	0.84	0.87	0.037	-0.564	0.052	1.98	0.037
25B	2012	2016	5	1	0	0.643	0.49	0.57	0.048	-0.287	0.113	2.06	0.099
26B	2011	2016	6	1	1	-0.13	0.32	0.42	0.092	0.545	0.24	2.19	0.135
39B	2011	2016	6	1	1	-0.559	0.42	0.52	0.056	0.914	0.068	2.01	0.06
42B	2009	2016	8	1	1	-0.198	0.8	1.12	0.188	0.621	0.136	2.63	0.871
48B	2013	2016	4	1	0	0.847	0.58	0.72	0.166	0.997	0.237	2.02	0.087
49B	2009	2016	8	1	0	0.745	1.05	1.52	0.317	0.803	0.186	2.36	0.79
50B	2011	2016	6	1	1	0.131	0.88	1.18	0.237	0.651	0.211	2.09	0.117
57B	2011	2016	6	1	1	0.131	0.89	1.07	0.193	0.634	0.162	2.17	0.191
60B	2013	2016	4	1	1	0.341	0.54	0.61	0.073	-0.791	0.2	2.05	0.093
61B	2009	2016	8	1	1	-0.565	0.15	0.22	0.047	0.257	0.279	2.53	0.942
64B	2011	2016	6	1	1	0.379	0.5	0.65	0.165	0.835	0.241	2.17	0.168
67B	2013	2016	4	1	1	-0.811	0.18	0.19	0.005	-0.004	0.018	1.96	0.016
70B	2012	2016	5	1	1	-0.536	0.11	0.16	0.029	-0.437	0.19	2.14	0.198
71B	2011	2016	6	1	1	-0.172	0.2	0.23	0.031	0.484	0.11	2.11	0.087
