PRISM Time Series Data,
Location:  Lat: 39.2267   Lon: -120.6117   Elev: 1288m,
Climate variable: ppt,
Spatial resolution: 4km,
Period: 1940-01 - 2020-01,
Dataset: AN81m,
PRISM day definition: 24 hours ending at 1200 UTC on the day shown,
Grid Cell Interpolation: Off,
Time series generated: 2020-Oct-30,
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf,
Date,ppt (mm)
1940-01,603.64
1940-02,569.19
1940-03,413.2
1940-04,72.97
1940-05,43.16
1940-06,8.37
1940-07,0
1940-08,0
1940-09,25.38
1940-10,74.77
1940-11,166.33
1940-12,483.43
1941-01,380.98
1941-02,337.39
1941-03,171.49
1941-04,200.69
1941-05,119.67
1941-06,26.2
1941-07,1.92
1941-08,0.92
1941-09,8.96
1941-10,51.63
1941-11,153.74
1941-12,521.44
1942-01,380.05
1942-02,346.66
1942-03,89.91
1942-04,284.88
1942-05,224.21
1942-06,0
1942-07,0
1942-08,0
1942-09,2.61
1942-10,14.75
1942-11,387.11
1942-12,277.51
1943-01,518.28
1943-02,138.9
1943-03,366.95
1943-04,113.97
1943-05,28.2
1943-06,59.93
1943-07,0
1943-08,0
1943-09,0
1943-10,62.29
1943-11,61.13
1943-12,108.99
1944-01,217.03
1944-02,284.76
1944-03,158.73
1944-04,128.69
1944-05,48.42
1944-06,37.4
1944-07,0.63
1944-08,0
1944-09,9.65
1944-10,88.14
1944-11,323.59
1944-12,210.51
1945-01,47.09
1945-02,415.34
1945-03,255.28
1945-04,50.19
1945-05,99.1
1945-06,42.34
1945-07,0.04
1945-08,0
1945-09,1.05
1945-10,190.38
1945-11,264.43
1945-12,512.16
1946-01,96.44
1946-02,143.78
1946-03,234.06
1946-04,15.94
1946-05,38.56
1946-06,0
1946-07,9.28
1946-08,0
1946-09,22.13
1946-10,56.8
1946-11,294.05
1946-12,143.89
1947-01,77.37
1947-02,164.97
1947-03,312.28
1947-04,55.86
1947-05,19.74
1947-06,83.02
1947-07,0
1947-08,0
1947-09,0
1947-10,256.24
1947-11,62.24
1947-12,37.28
1948-01,230.64
1948-02,131.16
1948-03,273.36
1948-04,401.92
1948-05,114.72
1948-06,10.25
1948-07,0
1948-08,0
1948-09,4.78
1948-10,11.87
1948-11,159.77
1948-12,242.73
1949-01,107.53
1949-02,215.78
1949-03,328.86
1949-04,13.02
1949-05,74.96
1949-06,0
1949-07,0
1949-08,13.54
1949-09,2.03
1949-10,13.33
1949-11,135.24
1949-12,116.57
1950-01,572.54
1950-02,203.55
1950-03,275.17
1950-04,144.43
1950-05,92.55
1950-06,15.48
1950-07,0
1950-08,0
1950-09,17.7
1950-10,223.98
1950-11,601.72
1950-12,466.62
1951-01,380.7
1951-02,184.33
1951-03,176.84
1951-04,86.94
1951-05,95.53
1951-06,0
1951-07,0
1951-08,0
1951-09,0
1951-10,190.95
1951-11,263.57
1951-12,492.78
1952-01,551.6
1952-02,300.42
1952-03,326.56
1952-04,56.6
1952-05,48.06
1952-06,39.03
1952-07,10.03
1952-08,0
1952-09,19.15
1952-10,1.26
1952-11,125.35
1952-12,440.26
1953-01,426.01
1953-02,13.83
1953-03,244.74
1953-04,215.12
1953-05,144.45
1953-06,44.02
1953-07,0
1953-08,3.4
1953-09,0.24
1953-10,65.26
1953-11,199.23
1953-12,97.56
1954-01,294.36
1954-02,236.84
1954-03,306.13
1954-04,159.3
1954-05,11.26
1954-06,47.68
1954-07,0
1954-08,7.93
1954-09,8.87
1954-10,13.4
1954-11,174.83
1954-12,314.71
1955-01,223.07
1955-02,127.84
1955-03,81.61
1955-04,208.54
1955-05,35.76
1955-06,5.39
1955-07,3.24
1955-08,0
1955-09,19.95
1955-10,23.7
1955-11,197.3
1955-12,1052.73
1956-01,535.8
1956-02,231.77
1956-03,39.52
1956-04,96.29
1956-05,147.06
1956-06,2.9
1956-07,0.87
1956-08,0
